Title,Release Year,criticConsensus,Rank,Director
Fantastic Mr. Fox,2009,Fantastic Mr. Fox is a delightfully funny feast for the eyes with multi-generational appeal -- and it shows Wes Anderson has a knack for animation.,40,Wes Anderson
Star Wars: Episode IV -- A New Hope,1977,"A legendarily expansive and ambitious start to the sci-fi saga, George Lucas opened our eyes to the possibilities of blockbuster filmmaking and things have never been the same.",41,George Lucas
The Lion King,1994,"Emotionally stirring, richly drawn, and beautifully animated, The Lion King is a pride within Disney's pantheon of classic family films.",42,"Roger Allers, Rob Minkoff"
The Little Mermaid,1989,The Little Mermaid ushered in a new golden era for Disney animation with warm and charming hand-drawn characters and catchy musical sequences.,43,"Ron Clements, John Musker"
Lady and the Tramp,1955,"A nostalgic charmer, Lady and the Tramp's token sweetness is mighty but the songs and richly colored animation are technically superb and make for a memorable experience.",44,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske"
Guardians of the Galaxy,2014,"Guardians of the Galaxy is just as irreverent as fans of the frequently zany Marvel comic would expect -- as well as funny, thrilling, full of heart, and packed with visual splendor.",45,James Gunn
A Bug's Life,1998,A Bug's Life is a rousing adventure that blends animated thrills with witty dialogue and memorable characters - and another smashing early success for Pixar.,46,"John Lasseter, Andrew Stanton"
The Guardians of the Galaxy Holiday Special,2022,"More of a stocking stuffer than a fully-rounded parcel, this yuletide excursion is a delightful showcase for Drax, Mantis, and a very game Kevin Bacon.",47,James Gunn
Star Wars: The Last Jedi,2017,Star Wars,48,Rian Johnson
West Side Story,2021,Steven Spielberg's West Side Story presents a new look at the classic musical that lives up to its beloved forebear -- and in some respects might even surpass it.,49,Steven Spielberg
The Avengers,2012,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.",50,Joss Whedon
Encanto,2021,"Encanto's setting and cultural perspective are new for Disney, but the end result is the same -- enchanting, beautifully animated fun for the whole family.",51,"Jared Bush, Byron Howard"
James and the Giant Peach,1996,"The arresting and dynamic visuals, offbeat details and light-as-air storytelling make James and the Giant Peach solid family entertainment.",52,Henry Selick
Ever After: A Cinderella Story,1998,"Ever After is a sweet, frothy twist on the ancient fable, led by a solid turn from star Barrymore.",53,Andy Tennant
Bambi,1942,"Elegantly animated and deeply touching, Bambi is an enduring, endearing, and moving Disney classic.",54,David Hand
Captain America: Civil War,2016,Captain America,55,"Anthony Russo, Joe Russo"
Isle of Dogs,2018,The beautifully stop-motion animated Isle of Dogs finds Wes Anderson at his detail-oriented best while telling one of the director's most winsomely charming stories.,56,Wes Anderson
X-Men: Days of Future Past,2014,X-Men,57,Bryan Singer
Captain America: The Winter Soldier,2014,"Suspenseful and politically astute, Captain America",58,"Anthony Russo, Joe Russo"
Frozen,2013,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.",59,"Chris Buck, Jennifer Lee"
Big Hero 6,2014,"Agreeably entertaining and brilliantly animated, Big Hero 6 is briskly-paced, action-packed, and often touching.",60,"Don Hall, Chris Williams"
Winnie the Pooh,2011,"Short, nostalgic, and gently whimsical, Winnie the Pooh offers young audiences -- and their parents -- a sweetly traditional family treat.",61,"Stephen J. Anderson, Don Hall"
Werewolf by Night,2022,"A spooky yarn told with taut economy, Werewolf by Night is a standout Marvel entry that proves Michael Giacchino as atmospheric and skilled a director as he is a composer.",62,Michael Giacchino
